Reference for admin.py send-mail <category> <item_id> <num>
======================================================================

ITEMS  (category is per-item -- see 3rd column)
item_id	name	item_category
1	Sprint Racing Shoes	11
4	Mile Racing Shoes	11
7	Medium Racing Shoes	11
10	Long Racing Shoes	11
13	Dirt Racing Shoes	11
25	Unused	11
26	Unused	11
27	Unused	11
28	Unused	11
32	Toughness 30	20
34	Carrot Jelly Mini	21
35	Carrot Jelly	21
41	Trainee Scout Ticket	40
43	Carats	90
44	Dream Glimmer	93
45	Prize Coin	94
48	Silver Cleat	160
49	Gold Cleat	160
50	Rainbow Cleat	160
57	Clover	99
58	Event Points	100
59	Monies	91
60	Tazuna's Red Pen	110
69	February S. Winner's Sash	11
70	Takamatsunomiya Kinen Winner's Sash	11
71	Osaka Hai Winner's Sash	11
72	Oka Sho Winner's Sash	11
73	Satsuki Sho Winner's Sash	11
74	Tenno Sho (Spring) Winner's Sash	11
75	NHK Mile C. Winner's Sash	11
76	Victoria Mile Winner's Sash	11
77	Japanese Oaks Winner's Sash	11
78	Japanese Derby Winner's Sash	11
79	Yasuda Kinen Winner's Sash	11
80	Takarazuka Kinen Winner's Sash	11
81	Sprinters S. Winner's Sash	11
82	Shuka Sho Winner's Sash	11
83	Kikuka Sho Winner's Sash	11
84	Tenno Sho (Autumn) Winner's Sash	11
85	Mile Ch. Winner's Sash	11
86	Queen Elizabeth II Cup Winner's Sash	11
87	Japan Cup Winner's Sash	11
88	Champions Cup Winner's Sash	11
89	Hanshin J.F. Winner's Sash	11
90	Asahi Hai F.S. Winner's Sash	11
91	Arima Kinen Winner's Sash	11
92	Hopeful S. Winner's Sash	11
95	Alarm Clock	34
96	Daily Race Ticket	140
97	Legend Race Ticket	140
98	Friend Points	103
101	Japan Dirt Derby Winner's Sash	11
102	JBC Sprint Winner's Sash	11
103	JBC Classic Winner's Sash	11
104	JBC Ladies’ Classic Winner's Sash	11
105	Teio Sho Winner's Sash	11
106	Tokyo Daishoten Winner's Sash	11
107	Unused	11
108	Unused	11
109	Unused	11
110	Support Points	30
111	Support Card Scout Ticket	40
113	3★ Make Debut Scout Race 1	40
114	SSR Make Debut Scout Race 1	40
115	Goddess Statue	97
116	Pleasing Parfait	150
117	Sunshine Doll	150
118	Rainfall Doll	150
119	Inner Post Raffle Ball	150
